loan_id|loan_amnt|term|emp_title|emp_length|home_ownership|annual_inc|inc_verification_status|issue_date|purpose|zip_code|addr_state|application_type
1810063|23000|60 months|IT Manager|4 years|MORTGAGE|110000|Source Verified|Mar-18|debt_consolidation|347xx|FL|Individual
1810064|35000|36 months|Accountant|9 years|MORTGAGE|450000|Source Verified|Mar-18|debt_consolidation|070xx|NJ|Individual
1810065|20000|60 months|Carpenter|10+ years|RENT|92000|Not Verified|Mar-18|other|116xx|NY|Individual
1810066|7000|36 months|Police officer|8 years|MORTGAGE|57000|Verified|Mar-18|debt_consolidation|276xx|NC|Individual
1810067|15000|36 months|Clerk|2 years|MORTGAGE|86000|Not Verified|Mar-18|home_improvement|926xx|CA|Individual
1810068|20000|60 months|Security Officer|10+ years|MORTGAGE|69000|Source Verified|Mar-18|debt_consolidation|467xx|IN|Individual
1810069|14100|36 months|Supervisor|< 1 year|OWN|128000|Source Verified|Mar-18|debt_consolidation|282xx|NC|Individual
1810070|8300|36 months|Police officer|4 years|MORTGAGE|40000|Not Verified|Mar-18|debt_consolidation|631xx|MO|Joint App
1810071|28150|60 months|Supervisor|10+ years|MORTGAGE|104000|Not Verified|Mar-18|credit_card|402xx|KY|Individual
1810072|6500|36 months|Realtor|1 year|MORTGAGE|28000|Source Verified|Mar-18|other|945xx|CA|Individual
1810073|3000|36 months|Supervisor|10+ years|MORTGAGE|50000|Not Verified|Mar-18|other|467xx|IN|Individual
1810074|10000|36 months||n/a|MORTGAGE|40000|Not Verified|Mar-18|debt_consolidation|606xx|IL|Individual
1810075|15000|60 months|Sales Manager|10+ years|MORTGAGE|195000|Verified|Mar-18|credit_card|083xx|NJ|Individual
1810076|30000|36 months|Electrician|3 years|RENT|84000|Source Verified|Mar-18|debt_consolidation|600xx|IL|Individual
1810077|16000|60 months|Accountant|10+ years|MORTGAGE|55000|Not Verified|Mar-18|debt_consolidation|105xx|NY|Individual
1810078|12000|36 months|Supervisor|5 years|RENT|38000|Source Verified|Mar-18|debt_consolidation|913xx|CA|Individual
1810079|24000|36 months||n/a|RENT|53000|Not Verified|Mar-18|credit_card|398xx|GA|Individual
1810080|10000|36 months|Supervisor|10+ years|OWN|175000|Source Verified|Mar-18|house|117xx|NY|Individual
1810081|20000|60 months|Supervisor|4 years|RENT|57000|Not Verified|Mar-18|credit_card|852xx|AZ|Individual
1810082|7200|36 months|Supervisor|8 years|RENT|51738|Source Verified|Mar-18|debt_consolidation|975xx|OR|Individual
1810083|15000|60 months|Supervisor|3 years|OWN|195000|Source Verified|Mar-18|other|341xx|FL|Individual
1810084|15000|36 months||n/a|MORTGAGE|28056|Not Verified|Mar-18|debt_consolidation|720xx|AR|Individual
1810085|10000|36 months||n/a|RENT|61056|Verified|Mar-18|credit_card|117xx|NY|Individual
1810086|12000|36 months|Chef|3 years|RENT|43000|Verified|Mar-18|debt_consolidation|891xx|NV|Individual
1810087|18500|36 months|Security Officer|6 years|MORTGAGE|82985|Not Verified|Mar-18|home_improvement|070xx|NJ|Individual
1810088|19000|60 months|Carpenter|10+ years|MORTGAGE|50000|Source Verified|Mar-18|debt_consolidation|633xx|MO|Individual
1810089|3125|36 months|Attorney|10+ years|MORTGAGE|100000|Verified|Mar-18|small_business|077xx|NJ|Individual
1810090|34825|60 months|Supervisor|2 years|MORTGAGE|125000|Source Verified|Mar-18|credit_card|852xx|AZ|Individual
1810091|2600|36 months|Security Officer|3 years|MORTGAGE|62000|Not Verified|Mar-18|other|481xx|MI|Individual
1810092|20000|60 months|Supervisor|3 years|MORTGAGE|110000|Not Verified|Mar-18|home_improvement|224xx|VA|Individual
1810093|3000|36 months|Teacher|10+ years|OWN|52000|Source Verified|Mar-18|debt_consolidation|042xx|ME|Individual
1810094|25000|60 months|Chef|10+ years|MORTGAGE|120000|Not Verified|Mar-18|credit_card|808xx|CO|Individual
1810095|17000|36 months|Supervisor|10+ years|OWN|70000|Source Verified|Mar-18|debt_consolidation|932xx|CA|Individual
1810096|34000|60 months|Chef|2 years|RENT|105000|Source Verified|Mar-18|debt_consolidation|967xx|HI|Individual
1810097|12000|36 months|Clerk|10+ years|MORTGAGE|240000|Source Verified|Mar-18|credit_card|066xx|CT|Individual
1810098|6025|36 months|Supervisor|3 years|RENT|39000|Source Verified|Mar-18|moving|010xx|MA|Individual
1810099|3000|36 months|Teacher|10+ years|RENT|97000|Not Verified|Mar-18|debt_consolidation|953xx|CA|Individual
1810100|24000|36 months|Chef|< 1 year|MORTGAGE|73620|Source Verified|Mar-18|credit_card|481xx|MI|Individual
1810101|10000|36 months|Supervisor|10+ years|MORTGAGE|65000|Source Verified|Mar-18|debt_consolidation|142xx|NY|Individual
1810102|20000|60 months|Supervisor|3 years|RENT|33500|Not Verified|Mar-18|house|604xx|IL|Individual
1810103|12000|60 months|Supervisor|10+ years|MORTGAGE|110000|Not Verified|Mar-18|debt_consolidation|921xx|CA|Individual
1810104|10000|36 months|IT Manager|10+ years|MORTGAGE|90000|Not Verified|Mar-18|credit_card|373xx|TN|Individual
1810105|30000|60 months|Supervisor|4 years|RENT|51500|Source Verified|Mar-18|home_improvement|323xx|FL|Individual
1810106|10000|36 months|Supervisor|10+ years|OWN|60000|Not Verified|Mar-18|credit_card|446xx|OH|Individual
1810107|10000|60 months|Engineer|10+ years|RENT|47000|Verified|Mar-18|credit_card|532xx|WI|Individual
1810108|20000|60 months|Supervisor|4 years|OWN|94796|Source Verified|Mar-18|house|843xx|UT|Individual
1810109|18000|60 months|Supervisor|10+ years|MORTGAGE|50000|Not Verified|Mar-18|car|325xx|FL|Individual
1810110|16000|36 months|Supervisor|10+ years|MORTGAGE|135000|Not Verified|Mar-18|credit_card|554xx|MN|Individual
1810111|32000|60 months|Supervisor|10+ years|MORTGAGE|125000|Not Verified|Mar-18|debt_consolidation|606xx|IL|Joint App
1810112|10000|60 months|Supervisor|2 years|OWN|42000|Not Verified|Mar-18|debt_consolidation|328xx|FL|Individual
