loan_id,loan_amnt,emp_title,emp_length,home_ownership,annual_inc
1820910,7200,14,10.0,1,72000.0
1821447,15000,2,10.0,1,75000.0
1840263,16000,19,5.0,1,138300.0
1821184,10000,18,2.0,1,34500.0
1810821,23000,1,2.0,1,105000.0
1820724,6500,11,10.0,1,55000.0
1911454,19000,9,10.0,1,50000.0
1841382,15000,3,10.0,1,110000.0
1810129,10000,10,2.0,2,85000.0
1820986,40000,7,0.0,2,105000.0
1831111,11200,13,10.0,1,140000.0
1810538,8500,13,0.0,2,62500.0
1830836,5000,16,8.0,1,240000.0
1820635,40000,9,6.0,2,350000.0
1821257,12000,13,2.0,2,102000.0
1810485,10000,18,10.0,3,45000.0
1830157,18000,17,8.0,1,108000.0
1910952,21000,19,10.0,2,65000.0
1910552,8500,8,10.0,1,45000.0
1810350,24000,7,10.0,1,40000.0
1841338,10000,19,10.0,1,39000.0
1831005,6500,13,10.0,1,35000.0
1821198,15000,3,2.0,1,60000.0
1830509,9500,9,1.0,1,50000.0
1821347,26000,2,4.0,2,160000.0
1810824,6000,18,0.0,2,60000.0
1830377,30000,5,9.0,1,135000.0
1811066,28000,18,10.0,3,112000.0
1830456,20000,15,10.0,1,62000.0
1910577,17500,16,10.0,2,65000.0
1830108,12500,19,2.0,2,28600.0
1821300,8500,19,10.0,1,50000.0
1820958,6000,13,5.0,3,87000.0
1830536,1000,14,3.0,1,49000.0
1910701,24500,19,8.0,1,130000.0
1831062,25000,6,2.0,2,67392.0
1830441,30000,14,6.0,1,95000.0
1840240,8000,11,2.0,2,95000.0
1820904,40000,13,10.0,1,40000.0
1830564,5000,13,1.0,1,165000.0
1910172,20000,16,1.0,2,50000.0
1820336,21000,6,6.0,1,86520.0
1811052,9600,9,5.0,1,80000.0
1840678,6000,19,5.0,3,60000.0
1821331,28800,2,1.0,1,56000.0
1820168,30750,13,10.0,1,132924.0
1821283,35000,2,10.0,1,106000.0
1911505,9600,8,3.0,2,65000.0
1830998,9000,13,10.0,1,80000.0
1841063,12000,3,7.0,2,90000.0
1821430,18000,2,2.0,2,69000.0
1840946,5000,4,2.0,2,42000.0
1810778,24000,3,10.0,1,65000.0
1821138,16000,7,10.0,1,80000.0
1810166,25000,10,10.0,1,89000.0
1831091,12000,17,10.0,1,92000.0
1820703,10200,5,2.0,1,34000.0
1810213,3200,15,1.0,2,30000.0
1820039,10000,16,4.0,1,65000.0
1810245,20000,10,10.0,2,186500.0
1840532,10000,9,9.0,2,65800.0
1821171,18000,13,5.0,1,65000.0
1841411,35000,20,3.0,2,290000.0
1831301,2100,15,7.0,1,46000.0
1911015,15000,1,4.0,1,154000.0
1841256,6000,3,8.0,2,90000.0
1910285,5000,19,4.0,3,39900.0
1810744,2100,10,4.0,2,55000.0
1810498,15000,10,0.0,1,120000.0
1840175,24000,11,10.0,1,380000.0
1831279,10000,17,2.0,2,29248.0
1910657,10000,19,10.0,1,171000.0
1831422,36400,15,3.0,1,144000.0
1830583,24000,14,1.0,2,123000.0
1821205,18000,5,2.0,1,41500.0
1840751,22000,16,2.0,1,32947.0
1820455,10000,5,2.0,1,40000.0
1821200,5000,7,10.0,1,95544.0
1830050,10000,2,1.0,1,47500.0
1820715,28000,18,0.0,3,95000.0
1821070,10000,7,10.0,1,75000.0
1820687,20000,13,3.0,1,140000.0
1841237,20000,2,10.0,2,108000.0
1810839,6000,1,0.0,2,62000.0
1910510,14400,2,4.0,2,86455.0
1831431,15000,15,6.0,2,84000.0
1810971,11000,1,1.0,2,30000.0
1820327,10000,14,5.0,1,100000.0
1821456,25000,13,1.0,1,65000.0
1840889,1600,4,5.0,1,36000.0
1820771,15000,10,4.0,3,200000.0
1821199,5400,7,10.0,2,60000.0
1831387,35000,15,10.0,1,115000.0
1831363,20000,15,9.0,3,120000.0
1910901,10000,20,0.0,1,47000.0
1810716,13000,10,10.0,1,38931.0
1831510,11500,11,0.0,2,45000.0
1840157,22000,3,10.0,1,65000.0
1810804,5000,3,1.0,2,44000.0
1840649,11400,1,2.0,1,53000.0
1841475,13000,19,10.0,1,202000.0
1840901,16000,4,10.0,1,85000.0
1830943,6000,13,0.0,2,25000.0
1831237,7500,16,10.0,1,150000.0
1840210,24000,3,10.0,1,100000.0
1820888,14000,13,2.0,2,98688.0
1840318,13000,15,8.0,3,35000.0
1841015,18000,4,3.0,2,103000.0
1820403,22400,9,8.0,1,68000.0
1840620,22000,14,10.0,2,99000.0
1810937,20000,14,10.0,2,87425.0
1820488,26725,5,10.0,1,105000.0
1820728,7000,5,5.0,2,53000.0
1841361,10000,10,10.0,2,106000.0
1840592,20000,2,10.0,1,80000.0
1840073,25000,13,3.0,2,67000.0
1810768,30000,18,6.0,2,60000.0
1831495,10000,11,0.0,2,40000.0
1831308,8500,5,10.0,1,83800.0
1820346,18000,9,10.0,1,80000.0
1820283,7500,9,3.0,1,40000.0
1840711,20000,16,0.0,1,240000.0
1811282,20000,16,2.0,1,45000.0
1820316,40000,17,10.0,1,90000.0
1830950,4300,13,2.0,1,110000.0
1810811,20000,18,10.0,2,43000.0
1821094,22000,13,5.0,1,63000.0
1830224,26000,13,2.0,1,48000.0
1820780,32900,5,3.0,1,55997.0
1830594,19500,5,0.0,2,140000.0
1840136,16000,13,7.0,3,88000.0
1831353,20000,15,0.0,1,29047.0
